sequenceID	accession_version	collection_month	collection_month_day	collection_year	country	country_iso	isolate_id	lab_construct	length	place_sampled	primary_accession	pubmed_id	source.name	subtype	create_date	update_date	format
HV199807	HV199807.1	-	-	-	-	-	-	true	9183	-	HV199807	-	ncbi-curated	-	15-Jul-2011	15-Jul-2011	GENBANK_XML
HZ038021	HZ038021.1	-	-	-	-	-	-	true	9181	-	HZ038021	-	ncbi-curated	-	26-Aug-2015	26-Aug-2015	GENBANK_XML
JA806687	JA806687.1	-	-	-	-	-	-	true	9719	-	JA806687	-	ncbi-curated	-	27-Nov-2012	27-Nov-2012	GENBANK_XML
JF320003	JF320003.1	-	-	2006	USA	USA	502-0341_FL05	-	9073	-	JF320003	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320004	JF320004.1	-	-	2006	USA	USA	502-0341_RH02	-	5328	-	JF320004	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320005	JF320005.1	-	-	2006	USA	USA	502-0341_FL04	-	9063	-	JF320005	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320006	JF320006.1	-	-	2006	USA	USA	502-0341_FL07	-	9073	-	JF320006	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320008	JF320008.1	-	-	2006	Peru	PER	502-0524_FL04	-	8970	-	JF320008	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320009	JF320009.1	-	-	2006	Peru	PER	502-0524_FL05	-	8969	-	JF320009	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320010	JF320010.1	-	-	2006	Peru	PER	502-0524_FL06	-	8969	-	JF320010	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320012	JF320012.1	-	-	2007	Peru	PER	502-1399_wg6	-	9020	-	JF320012	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320013	JF320013.1	-	-	2007	Peru	PER	502-1399_wg4	-	9047	-	JF320013	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320014	JF320014.1	-	-	2007	Peru	PER	502-1399_wg5	-	9032	-	JF320014	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320015	JF320015.1	-	-	2007	Peru	PER	502-1399_wg1	-	9013	-	JF320015	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320016	JF320016.1	-	-	2007	Peru	PER	502-1399_wg3	-	9042	-	JF320016	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320017	JF320017.1	-	-	2007	Peru	PER	502-2649_wg2	-	8999	-	JF320017	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320018	JF320018.1	-	-	2007	Peru	PER	502-2254_FL6	-	9055	-	JF320018	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320019	JF320019.1	-	-	2007	Peru	PER	502-2649_wg8	-	9045	-	JF320019	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320020	JF320020.1	-	-	2007	Peru	PER	502-2254_FL2	-	8847	-	JF320020	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320021	JF320021.1	-	-	2007	Peru	PER	502-2254_FL5	-	9055	-	JF320021	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320022	JF320022.1	-	-	2007	Peru	PER	502-2649_wg7	-	8999	-	JF320022	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320023	JF320023.1	-	-	2007	Peru	PER	502-2254_FL3	-	9055	-	JF320023	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320024	JF320024.1	-	-	2007	Peru	PER	502-2254_FL1	-	9055	-	JF320024	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320025	JF320025.1	-	-	2007	Peru	PER	502-2649_wg10	-	8969	-	JF320025	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320026	JF320026.1	-	-	2007	Peru	PER	502-2254_FL4	-	8940	-	JF320026	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320027	JF320027.1	-	-	2007	Peru	PER	502-2649_wg5	-	8999	-	JF320027	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320028	JF320028.1	-	-	2007	Peru	PER	502-2349_wg2	-	9013	-	JF320028	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320029	JF320029.1	-	-	2007	Peru	PER	502-2349_wg9	-	8984	-	JF320029	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320030	JF320030.1	-	-	2007	Peru	PER	502-2649_wg3	-	8999	-	JF320030	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320031	JF320031.1	-	-	2007	Peru	PER	502-2349_wg4	-	9007	-	JF320031	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320032	JF320032.1	-	-	2007	Peru	PER	502-2349_wg5	-	9007	-	JF320032	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320033	JF320033.1	-	-	2007	Peru	PER	502-2649_wg4	-	9000	-	JF320033	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320034	JF320034.1	-	-	2007	Peru	PER	502-2649_wg1	-	8999	-	JF320034	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320035	JF320035.1	-	-	2007	Peru	PER	502-2649_wg9	-	9000	-	JF320035	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320036	JF320036.1	-	-	2006	USA	USA	502-0227_FL05	-	8746	-	JF320036	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320037	JF320037.1	-	-	2006	USA	USA	502-0227_LH02	-	5072	-	JF320037	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320038	JF320038.1	-	-	2006	USA	USA	502-0572_FL06	-	8725	-	JF320038	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320039	JF320039.1	-	-	2006	USA	USA	502-0572_FL02	-	8725	-	JF320039	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320040	JF320040.1	-	-	2006	USA	USA	502-0572_FL07	-	8725	-	JF320040	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320041	JF320041.1	-	-	2006	USA	USA	502-0572_FL01	-	8725	-	JF320041	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320042	JF320042.1	-	-	2006	USA	USA	502-0572_FL03	-	8725	-	JF320042	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320043	JF320043.1	-	-	2005	USA	USA	502-1400_FL02	-	9042	-	JF320043	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320044	JF320044.1	-	-	2006	USA	USA	502-1174_FL07	-	9067	-	JF320044	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320045	JF320045.1	-	-	2007	USA	USA	502-1115_wg1	-	9131	-	JF320045	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320046	JF320046.1	-	-	2005	USA	USA	502-1400_FL05	-	8977	-	JF320046	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320047	JF320047.1	-	-	2006	USA	USA	502-1174_FL06	-	9067	-	JF320047	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320048	JF320048.1	-	-	2006	USA	USA	502-0309_wg13	-	8726	-	JF320048	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320049	JF320049.1	-	-	2006	USA	USA	502-1174_FL02	-	9067	-	JF320049	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320050	JF320050.1	-	-	2005	USA	USA	502-1400_FL01	-	9042	-	JF320050	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320051	JF320051.1	-	-	2006	USA	USA	502-1174_FL01	-	9067	-	JF320051	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320052	JF320052.1	-	-	2007	USA	USA	502-1115_wg3	-	9128	-	JF320052	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320053	JF320053.1	-	-	2006	USA	USA	502-1174_FL09	-	9070	-	JF320053	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320054	JF320054.1	-	-	2005	USA	USA	502-2495_wg02	-	9054	-	JF320054	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320055	JF320055.1	-	-	2006	USA	USA	502-1174_FL04	-	9070	-	JF320055	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320056	JF320056.1	-	-	2006	USA	USA	502-0309_wg02	-	8726	-	JF320056	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320057	JF320057.1	-	-	2005	USA	USA	502-2495_wg01	-	7508	-	JF320057	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320058	JF320058.1	-	-	2006	USA	USA	502-1174_FL05	-	9067	-	JF320058	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320059	JF320059.1	-	-	2005	USA	USA	502-0223_wg1	-	9098	-	JF320059	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320060	JF320060.1	-	-	2006	USA	USA	502-1174_FL08	-	9067	-	JF320060	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320061	JF320061.1	-	-	2005	USA	USA	502-2495_wg03	-	8948	-	JF320061	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320062	JF320062.1	-	-	2006	USA	USA	502-1174_FL11	-	9067	-	JF320062	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320063	JF320063.1	-	-	2006	USA	USA	502-0839_LH05	-	5072	-	JF320063	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320064	JF320064.1	-	-	2006	USA	USA	502-1174_FL03	-	9067	-	JF320064	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320065	JF320065.1	-	-	2006	USA	USA	502-0309_wg14	-	8726	-	JF320065	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320066	JF320066.1	-	-	2005	USA	USA	502-1400_FL03	-	9042	-	JF320066	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320067	JF320067.1	-	-	2005	USA	USA	502-1400_FL04	-	9032	-	JF320067	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320068	JF320068.1	-	-	2006	USA	USA	502-0309_wg12	-	8726	-	JF320068	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320069	JF320069.1	-	-	2007	USA	USA	502-1115_wg2	-	9111	-	JF320069	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320070	JF320070.1	-	-	2007	USA	USA	502-1115_wg6	-	9119	-	JF320070	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320071	JF320071.1	-	-	2006	USA	USA	502-0309_wg04	-	8726	-	JF320071	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320073	JF320073.1	-	-	2007	USA	USA	502-0879_LH_5	-	5251	-	JF320073	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320074	JF320074.1	-	-	2007	USA	USA	502-0879_LH_1	-	5252	-	JF320074	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320075	JF320075.1	-	-	2007	USA	USA	502-0879_LH_4	-	5252	-	JF320075	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320078	JF320078.1	-	-	2007	USA	USA	502-0879_LH_2	-	5252	-	JF320078	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320079	JF320079.1	-	-	2007	USA	USA	502-0879_LH_3	-	5165	-	JF320079	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320081	JF320081.1	-	-	2006	USA	USA	502-0341_FL06	-	9073	-	JF320081	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320082	JF320082.1	-	-	2006	USA	USA	502-0341_FL03	-	9073	-	JF320082	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320084	JF320084.1	-	-	2006	USA	USA	502-0346_LH07	-	5078	-	JF320084	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320086	JF320086.1	-	-	2006	USA	USA	502-0346_LH06	-	5078	-	JF320086	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320087	JF320087.1	-	-	2006	USA	USA	502-0346_LH02	-	5078	-	JF320087	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320088	JF320088.1	-	-	2006	USA	USA	502-0346_LH04	-	5078	-	JF320088	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320091	JF320091.1	-	-	2006	USA	USA	502-0346_LH03	-	5078	-	JF320091	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320092	JF320092.1	-	-	2006	USA	USA	502-0346_LH01	-	5078	-	JF320092	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320093	JF320093.1	-	-	2006	USA	USA	502-0346_LH05	-	5078	-	JF320093	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320097	JF320097.1	-	-	2006	USA	USA	502-0346_wg02	-	8739	-	JF320097	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320098	JF320098.1	-	-	2006	USA	USA	502-0346_wg01	-	8739	-	JF320098	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320101	JF320101.1	-	-	2007	USA	USA	502-1518_LH09	-	5069	-	JF320101	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320102	JF320102.1	-	-	2007	USA	USA	502-1518_LH11	-	5069	-	JF320102	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320104	JF320104.1	-	-	2007	USA	USA	502-1518_LH08	-	5069	-	JF320104	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320105	JF320105.1	-	-	2007	USA	USA	502-1518_LH06	-	5069	-	JF320105	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320108	JF320108.1	-	-	2007	USA	USA	502-1518_LH05	-	5069	-	JF320108	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320109	JF320109.1	-	-	2007	USA	USA	502-1518_LH02	-	5069	-	JF320109	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320112	JF320112.1	-	-	2007	USA	USA	502-1518_LH03	-	5069	-	JF320112	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320113	JF320113.1	-	-	2007	USA	USA	502-1518_LH07	-	5069	-	JF320113	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320115	JF320115.1	-	-	2007	USA	USA	502-1518_LH10	-	5069	-	JF320115	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320118	JF320118.1	-	-	2007	USA	USA	502-1518_LH04	-	5069	-	JF320118	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320120	JF320120.1	-	-	2006	USA	USA	502-1619_FL09	-	9035	-	JF320120	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320121	JF320121.1	-	-	2006	USA	USA	502-1619_FL08	-	9050	-	JF320121	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320122	JF320122.1	-	-	2006	USA	USA	502-1619_FL03	-	9050	-	JF320122	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320123	JF320123.1	-	-	2006	USA	USA	502-1619_FL01	-	9050	-	JF320123	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320124	JF320124.1	-	-	2006	USA	USA	502-1619_FL10	-	9050	-	JF320124	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320125	JF320125.1	-	-	2006	USA	USA	502-1619_FL05	-	9050	-	JF320125	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320126	JF320126.1	-	-	2006	USA	USA	502-1619_FL06	-	9051	-	JF320126	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320127	JF320127.1	-	-	2006	USA	USA	502-1619_FL04	-	9050	-	JF320127	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320128	JF320128.1	-	-	2006	USA	USA	502-1619_FL07	-	9050	-	JF320128	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320129	JF320129.1	-	-	2006	USA	USA	502-1619_FL02	-	9048	-	JF320129	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320130	JF320130.1	-	-	2007	USA	USA	502-2586_LH08	-	5063	-	JF320130	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320132	JF320132.1	-	-	2007	USA	USA	502-2586_LH07	-	5063	-	JF320132	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320133	JF320133.1	-	-	2007	USA	USA	502-2586_LH01	-	5063	-	JF320133	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320137	JF320137.1	-	-	2007	USA	USA	502-2586_LH03	-	5063	-	JF320137	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320138	JF320138.1	-	-	2007	USA	USA	502-2586_LH02	-	5063	-	JF320138	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320139	JF320139.1	-	-	2007	USA	USA	502-2586_LH06	-	5063	-	JF320139	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320140	JF320140.1	-	-	2007	USA	USA	502-2586_LH04	-	5063	-	JF320140	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320143	JF320143.1	-	-	2007	USA	USA	502-2586_LH05	-	5063	-	JF320143	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320144	JF320144.1	-	-	2006	USA	USA	502-1211_FL04	-	9099	-	JF320144	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320145	JF320145.1	-	-	2006	USA	USA	502-2667_FL03	-	9063	-	JF320145	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320146	JF320146.1	-	-	2006	USA	USA	502-1211_FL05	-	9099	-	JF320146	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320147	JF320147.1	-	-	2006	USA	USA	502-2667_FL01	-	9063	-	JF320147	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320148	JF320148.1	-	-	2006	USA	USA	502-1211_FL02	-	9099	-	JF320148	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320149	JF320149.1	-	-	2006	USA	USA	502-1211_FL03	-	9099	-	JF320149	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320150	JF320150.1	-	-	2007	USA	USA	502-1478_wg4	-	9056	-	JF320150	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320151	JF320151.1	-	-	2006	USA	USA	502-1211_FL01	-	9100	-	JF320151	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320152	JF320152.1	-	-	2006	USA	USA	502-2667_FL02	-	9063	-	JF320152	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320153	JF320153.1	-	-	2006	USA	USA	502-2667_FL04	-	9063	-	JF320153	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320154	JF320154.1	-	-	2006	USA	USA	502-2667_FL05	-	9063	-	JF320154	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320155	JF320155.1	-	-	2007	USA	USA	502-1478_wg2	-	9028	-	JF320155	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320156	JF320156.1	-	-	2007	USA	USA	502-1478_wg3	-	8956	-	JF320156	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320157	JF320157.1	-	-	2007	USA	USA	502-1478_wg5	-	9024	-	JF320157	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320158	JF320158.1	-	-	2007	USA	USA	502-1478_wg1	-	9056	-	JF320158	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320159	JF320159.1	-	-	2006	USA	USA	502-0006_LH01	-	5057	-	JF320159	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320160	JF320160.1	-	-	2006	USA	USA	502-0923_wg07	-	8793	-	JF320160	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320161	JF320161.1	-	-	2006	USA	USA	502-0923_wg04	-	8793	-	JF320161	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320162	JF320162.1	-	-	2006	USA	USA	502-0923_wg01	-	8793	-	JF320162	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320163	JF320163.1	-	-	2006	USA	USA	502-0923_wg02	-	8793	-	JF320163	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320164	JF320164.1	-	-	2006	USA	USA	502-0923_wg08	-	8793	-	JF320164	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320165	JF320165.1	-	-	2006	USA	USA	502-0923_wg03	-	8539	-	JF320165	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320166	JF320166.1	-	-	2006	USA	USA	502-0923_wg06	-	8793	-	JF320166	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320167	JF320167.1	-	-	2006	USA	USA	502-0923_wg05	-	8771	-	JF320167	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320169	JF320169.1	-	-	2006	USA	USA	502-1055_FL01	-	8733	-	JF320169	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320171	JF320171.1	-	-	2006	USA	USA	502-1055_FL02	-	8733	-	JF320171	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320174	JF320174.1	-	-	2007	USA	USA	502-1368_LH02	-	5063	-	JF320174	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320176	JF320176.1	-	-	2007	USA	USA	502-1368_LH03	-	5063	-	JF320176	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320177	JF320177.1	-	-	2007	USA	USA	502-1368_LH01	-	5063	-	JF320177	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320178	JF320178.1	-	-	2007	USA	USA	502-1897_wg8	-	8322	-	JF320178	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320179	JF320179.1	-	-	2007	USA	USA	502-1897_wg2	-	9055	-	JF320179	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320180	JF320180.1	-	-	2007	USA	USA	502-1897_wg7	-	8802	-	JF320180	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320181	JF320181.1	-	-	2007	USA	USA	502-1897_wg4	-	9008	-	JF320181	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320182	JF320182.1	-	-	2007	USA	USA	502-1897_wg6	-	9058	-	JF320182	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320183	JF320183.1	-	-	2006	Peru	PER	502-0491_wg5	-	9038	-	JF320183	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320185	JF320185.1	-	-	2005	USA	USA	502-2136_FL02	-	9122	-	JF320185	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320186	JF320186.1	-	-	2006	Peru	PER	502-0648_FL03	-	8836	-	JF320186	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320187	JF320187.1	-	-	2006	Peru	PER	502-0491_wg3	-	8974	-	JF320187	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320188	JF320188.1	-	-	2005	USA	USA	502-2136_FL03	-	9122	-	JF320188	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320189	JF320189.1	-	-	2007	Peru	PER	502-2622_wg1	-	9064	-	JF320189	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320190	JF320190.1	-	-	2005	USA	USA	502-2136_FL05	-	9122	-	JF320190	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320191	JF320191.1	-	-	2007	Peru	PER	502-0525_wg5	-	9081	-	JF320191	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320192	JF320192.1	-	-	2005	USA	USA	502-2136_FL04	-	9122	-	JF320192	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320193	JF320193.1	-	-	2006	Peru	PER	502-0648_FL05	-	8991	-	JF320193	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
JF320194	JF320194.1	-	-	2005	USA	USA	502-2136_FL01	-	9122	-	JF320194	21358627	ncbi-curated	-	11-Mar-2011	10-Feb-2017	GENBANK_XML
